Designator,Mid X,Mid Y,Rotation,Layer
C1,107.0,-94.0,270.0,bottom
C10,91.6,-71.6375,270.0,bottom
C11,97.4,-79.6375,180.0,top
C12,84.9,-73.2375,270.0,top
C13,87.6,-71.775,270.0,bottom
C14,97.4,-76.6375,180.0,top
C15,84.2,-82.1,90.0,top
C16,95.8375,-85.2375,0.0,bottom
C17,97.4,-72.6375,180.0,top
C18,120.75,-68.5,180.0,bottom
C19,135.25,-73.0,0.0,bottom
C2,89.0,-98.0,90.0,top
C20,137.0,-65.3625,270.0,bottom
C21,109.05,-63.75,0.0,top
C22,106.0,-78.25,90.0,top
C23,108.0,-78.25,270.0,top
C24,106.25,-82.0,180.0,top
C25,124.0,-77.2,270.0,bottom
C26,135.25,-83.75,0.0,bottom
C27,137.0,-75.8875,270.0,bottom
C28,124.0,-89.8,270.0,bottom
C29,135.25,-95.0,0.0,bottom
C3,92.0,-98.0,90.0,top
C30,137.25,-87.5,270.0,bottom
C31,120.75,-104.6,180.0,bottom
C32,133.25,-107.0,90.0,bottom
C33,137.25,-98.0,270.0,bottom
C4,75.55,-65.46,270.0,top
C5,87.7,-85.4,90.0,top
C6,92.3,-90.1,90.0,top
C7,97.3125,-74.6375,180.0,top
C8,94.4,-72.55,270.0,top
C9,95.8375,-83.2375,0.0,bottom
D1,107.0,-99.25,270.0,bottom
D2,113.75,-65.0,90.0,top
D3,116.75,-65.0,90.0,top
D4,113.5,-76.2625,90.0,top
D5,116.0,-76.2625,90.0,top
D6,113.5,-87.2625,90.0,top
D7,116.25,-87.2625,90.0,top
D8,113.75,-102.75,90.0,top
D9,116.25,-102.75,90.0,top
H1,72.25,-107.75,0.0,top
H2,136.75,-60.25,0.0,top
H3,72.25,-60.25,0.0,top
H4,136.75,-108.25,0.0,top
J1,134.25,-67.75,90.0,top
J2,134.25,-78.75,90.0,top
J3,134.25,-89.75,90.0,top
J4,134.25,-100.75,90.0,top
J5,90.7,-60.2,180.0,top
L1,101.0,-89.0,180.0,top
Q10,126.8625,-62.55,0.0,top
Q7,127.1,-98.3,0.0,top
Q8,127.15,-85.7,0.0,top
Q9,127.35,-73.7,0.0,top
R1,98.75,-59.955,0.0,top
R10,85.0,-104.0,0.0,top
R11,92.0,-69.55,270.0,top
R12,90.0,-69.55,270.0,top
R13,123.5,-65.75,90.0,bottom
R14,100.75,-80.25,180.0,bottom
R15,117.0,-69.5,90.0,top
R16,113.75,-69.5,90.0,top
R17,121.25,-71.0,0.0,bottom
R18,137.0,-69.25,270.0,bottom
R19,123.0,-66.0,180.0,top
R2,98.75,-62.955,0.0,top
R20,100.0,-87.5,90.0,bottom
R21,102.0,-87.5,90.0,bottom
R22,103.25,-76.0,270.0,top
R23,102.5,-76.0,270.0,bottom
R26,113.75,-80.7625,90.0,top
R28,112.4625,-60.5,0.0,top
R29,108.6,-60.5,0.0,top
R3,81.75,-59.955,180.0,top
R30,110.5375,-72.5,180.0,top
R31,107.0,-73.75,90.0,top
R32,121.25,-85.25,180.0,top
R33,77.1,-85.0,0.0,bottom
R34,90.5,-85.4,270.0,top
R35,110.0,-86.25,90.0,top
R36,119.5,-98.25,180.0,top
R37,110.25,-95.25,90.0,top
R38,116.0,-80.7625,90.0,top
R39,101.0,-81.25,0.0,top
R4,81.75,-62.955,180.0,top
R40,121.0,-79.5,0.0,bottom
R41,120.55,-82.5,0.0,bottom
R42,137.0,-80.25,270.0,bottom
R43,123.25,-77.0,180.0,top
R44,113.5,-91.7625,90.0,top
R45,116.25,-91.7625,90.0,top
R46,100.75,-82.5,180.0,bottom
R47,122.25,-91.5,90.0,top
R48,121.25,-94.75,0.0,bottom
R49,137.25,-91.25,270.0,bottom
R5,77.55,-70.0,0.0,bottom
R50,121.5,-88.0,180.0,top
R51,113.75,-107.25,90.0,top
R52,116.25,-107.25,90.0,top
R53,100.75,-83.75,0.0,top
R54,123.0,-102.0,90.0,bottom
R55,120.5,-107.5,0.0,bottom
R56,137.25,-102.5,270.0,bottom
R57,123.0,-102.0,180.0,top
R6,77.55,-73.0,0.0,bottom
R7,77.55,-76.0,0.0,bottom
R8,77.1,-79.0,0.0,bottom
R9,77.1,-82.0,0.0,bottom
SW1,75.25,-101.85,180.0,top
SW2,75.25,-94.0,180.0,top
U1,127.05,-70.45,90.0,bottom
U10,127.3625,-89.55,180.0,top
U11,126.3,-106.55,90.0,bottom
U12,127.1125,-102.05,180.0,top
U2,72.0,-75.81,0.0,top
U3,100.0,-102.875,270.0,top
U4,90.4,-78.4375,90.0,top
U5,102.4125,-67.095,90.0,bottom
U6,127.5,-66.45,180.0,top
U7,126.8,-81.55,90.0,bottom
U8,127.6125,-77.2,180.0,top
U9,126.8,-94.2,90.0,bottom
Y1,88.45,-90.55,270.0,top
