Designator,Mid X,Mid Y,Rotation,Layer
BOOT,67.0,5.0,180.0,top
C1,87.0,7.0,0.0,top
C2,49.5,15.275,180.0,bottom
C3,67.0,16.275,0.0,bottom
C4,88.0,23.0,90.0,bottom
C5,65.5,19.775,0.0,bottom
D1,49.5,10.75,270.0,top
D2,22.2,18.9,270.0,top
D3,47.8,26.95,90.0,bottom
D4,44.675,13.4725,270.0,top
D5,29.0,7.6,270.0,bottom
D6,59.1,36.6,90.0,top
D7,59.0,32.7,180.0,bottom
D9,48.6,36.35,0.0,top
H1,2.3,2.3,0.0,top
H2,2.3,37.7,180.0,top
H3,88.0,38.0,180.0,top
H4,87.8,2.25,180.0,top
J1,3.04,16.0,270.0,top
J2,17.5,34.8675,180.0,top
J3,36.0,34.8675,180.0,top
J4,36.0,5.5,0.0,top
J5,19.7,5.5,0.0,top
L1,58.0,21.775,180.0,bottom
Q2,17.38,26.0,90.0,top
Q3,36.0,25.8,270.0,bottom
Q4,36.0,14.3675,270.0,top
Q5,20.725,13.765,90.0,bottom
R1,50.1,31.85,90.0,top
R10,42.4,21.8,180.0,bottom
R11,56.1,30.8,270.0,top
R12,17.4,20.7,0.0,top
R14,63.3,30.9,90.0,bottom
R15,56.1,36.35,270.0,top
R16,12.975,12.365,180.0,bottom
R17,32.875,20.4225,270.0,top
R18,43.5,31.6,270.0,bottom
R19,25.3,23.15,90.0,top
R20,14.125,16.165,180.0,bottom
R21,30.0,14.3675,270.0,top
R22,42.4,17.7,90.0,bottom
R23,24.4,28.5,180.0,top
R24,20.925,19.165,0.0,bottom
R25,38.075,20.0725,180.0,top
R26,43.7,26.6,0.0,bottom
R27,31.5,25.5,180.0,top
R28,83.0,34.0,0.0,top
R29,83.0,33.0,90.0,bottom
R3,67.0,34.0,180.0,top
R30,74.0,33.0,90.0,bottom
R31,77.0,33.0,90.0,bottom
R32,80.0,33.0,90.0,bottom
R33,71.0,33.0,90.0,bottom
R4,1.2,24.4,90.0,top
R5,4.0,24.4,90.0,top
R6,2.0,7.45,270.0,top
R7,5.4,7.45,270.0,top
R8,27.925,14.165,180.0,bottom
R9,43.475,17.8725,0.0,top
RST,79.0,5.0,0.0,top
U1,83.68,20.0,270.0,top
U2,74.65,38.0,270.0,top
U3,58.5,7.125,270.0,bottom
